Text,Date_with_affect,Date,Price,Open,High,Low,Change
"A story in the @washingtonpost that I was close to ""rescinding"" the nomination of Justice Gorsuch prior to confirmation is FAKE NEWS. I never even wavered and am very proud of him and the job he is doing as a Justice of the U.S. Supreme Court. The unnamed sources don't exist!",2017-12-19,2017-12-19,93.44,93.71,93.76,93.43,-0.27
"Stocks and the economy have a long way to go after the Tax Cut Bill is totally understood and appreciated in scope and size. Immediate expensing will have a big impact. Biggest Tax Cuts and Reform EVER passed. Enjoy, and create many beautiful JOBS!",2017-12-19,2017-12-19,93.44,93.71,93.76,93.43,-0.27
70 Record Closes for the Dow so far this year! We have NEVER had 70 Dow Records in a one year period. Wow!,2017-12-19,2017-12-19,93.44,93.71,93.76,93.43,-0.27
"Together, our task is to strengthen our families, to build up our communities, to serve our citizens, and to celebrate AMERICAN GREATNESS as a shining example to the world.... ",2017-12-19,2017-12-19,93.44,93.71,93.76,93.43,-0.27
"With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WIN!OUR FOUR PILLARS OF NATIONAL SECURITY STRATEGY: ",2017-12-19,2017-12-19,93.44,93.71,93.76,93.43,-0.27
DOW RISES 5000 POINTS ON THE YEAR FOR THE FIRST TIME EVER - MAKE AMERICA GREAT AGAIN!,2017-12-19,2017-12-19,93.44,93.71,93.76,93.43,-0.27
"The United States Senate just passed the biggest in history Tax Cut and Reform Bill. Terrible Individual Mandate (ObamaCare)Repealed. Goes to the House tomorrow morning for final vote. If approved, there will be a News Conference at The White House at approximately 1:00 P.M.",2017-12-20,2017-12-20,93.31,93.5,93.53,93.16,-0.14
"The Tax Cuts are so large and so meaningful, and yet the Fake News is working overtime to follow the lead of their friends, the defeated Dems, and only demean. This is truly a case where the results will speak for themselves, starting very soon. Jobs, Jobs, Jobs!",2017-12-20,2017-12-20,93.31,93.5,93.53,93.16,-0.14
I would like to congratulate @SenateMajLdr on having done a fantastic job both strategically and politically on the passing in the Senate of the MASSIVE TAX CUT and Reform Bill. I could have not asked for a better or more talented partner. Our team will go onto many more VICTORIES!,2017-12-20,2017-12-20,93.31,93.5,93.53,93.16,-0.14
We are delivering HISTORIC TAX RELIEF for the American people!#TaxCutsandJobsAct ,2017-12-20,2017-12-20,93.31,93.5,93.53,93.16,-0.14
"The Massive Tax Cuts, which the Fake News Media is desperate to write badly about so as to please their Democrat bosses, will soon be kicking in and will speak for themselves. Companies are already making big payments to workers. Dems want to raise taxes, hate these big Cuts!",2017-12-21,2017-12-21,93.28,93.31,93.5,93.23,-0.03
Was @foxandfriends just named the most influential show in news? You deserve it - three great people! The many Fake News Hate Shows should study your formula for success!,2017-12-21,2017-12-21,93.28,93.31,93.5,93.23,-0.03
Home Sales hit BEST numbers in 10 years! MAKE AMERICA GREAT AGAIN,2017-12-21,2017-12-21,93.28,93.31,93.5,93.23,-0.03
"House Democrats want a SHUTDOWN for the holidays in order to distract from the very popular, just passed, Tax Cuts. House Republicans, don't let this happen. Pass the C.R. TODAY and keep our Government OPEN!",2017-12-21,2017-12-21,93.28,93.31,93.5,93.23,-0.03
"THANK YOU to everyone who joined me at the @WhiteHouse yesterday. Together, we are MAKING AMERICA GREAT AGAIN! ",2017-12-21,2017-12-21,93.28,93.31,93.5,93.23,-0.03
"Today, it was my great honor to sign the largest TAX CUTS and reform in the history of our country. Full remarks: ",2017-12-22,2017-12-22,93.35,93.37,93.56,93.31,0.08
"Congressman Ron DeSantis is a brilliant young leader, Yale and then Harvard Law, who would make a GREAT Governor of Florida. He loves our Country and is a true FIGHTER!",2017-12-22,2017-12-22,93.35,93.37,93.56,93.31,0.08
"The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea. The World wants Peace, not Death!",2017-12-22,2017-12-22,93.35,93.37,93.56,93.31,0.08
"95% of Americans will pay less or, at worst, the same amount of taxes (mostly far less). The Dems only want to raise your taxes!",2017-12-22,2017-12-22,93.35,93.37,93.56,93.31,0.08
"At some point, and for the good of the country, I predict we will start working with the Democrats in a Bipartisan fashion. Infrastructure would be a perfect place to start. After having foolishly spent $7 trillion in the Middle East, it is time to start rebuilding our country!",2017-12-22,2017-12-22,93.35,93.37,93.56,93.31,0.08
