"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 17, 2016","94.72","94.80","95.10","94.51","0","-0.07"
"Aug 16, 2016","94.79","95.61","95.66","94.43","0","-0.88"
"Aug 15, 2016","95.63","95.65","95.80","95.47","0","-0.09"
"Aug 12, 2016","95.72","95.92","95.99","95.25","0","-0.15"
"Aug 11, 2016","95.86","95.58","95.97","95.50","0","0.22"
"Aug 10, 2016","95.65","96.12","96.12","95.44","0","-0.55"
"Aug 09, 2016","96.18","96.39","96.52","96.08","0","-0.23"
"Aug 08, 2016","96.40","96.29","96.47","96.15","0","0.22"
"Aug 05, 2016","96.19","95.78","96.52","95.55","0","0.45"
"Aug 04, 2016","95.76","95.54","95.90","95.42","0","0.21"
"Aug 03, 2016","95.56","95.13","95.61","95.13","0","0.53"
"Aug 02, 2016","95.06","95.82","95.85","95.00","0","-0.68"
"Aug 01, 2016","95.71","95.59","95.82","95.54","0","0.19"
"Jul 29, 2016","95.53","96.62","96.62","95.38","0","-1.25"
"Jul 28, 2016","96.74","96.73","96.77","96.29","0","-0.32"
"Jul 27, 2016","97.05","97.14","97.53","96.67","0","-0.11"
"Jul 26, 2016","97.16","97.29","97.32","96.85","0","-0.13"
"Jul 25, 2016","97.29","97.35","97.57","97.22","0","-0.18"
"Jul 22, 2016","97.47","96.92","97.54","96.83","0","0.48"
"Jul 21, 2016","97.00","97.13","97.21","96.73","0","-0.21"
"Jul 20, 2016","97.20","97.08","97.32","96.99","0","0.14"
"Jul 19, 2016","97.06","96.55","97.15","96.52","0","0.52"
"Jul 18, 2016","96.56","96.59","96.71","96.47","0","-0.02"
"Jul 15, 2016","96.58","96.13","96.73","95.91","0","0.52"
"Jul 14, 2016","96.08","96.27","96.37","95.83","0","-0.15"
"Jul 13, 2016","96.22","96.51","96.60","96.09","0","-0.23"
"Jul 12, 2016","96.44","96.54","96.64","96.07","0","-0.13"
"Jul 11, 2016","96.57","96.29","96.79","96.27","0","0.28"
"Jul 08, 2016","96.30","96.28","96.70","95.83","0","-0.03"
"Jul 07, 2016","96.33","96.13","96.34","95.92","0","0.29"
"Jul 06, 2016","96.05","96.25","96.50","95.98","0","-0.12"
"Jul 05, 2016","96.17","95.54","96.25","95.34","0","0.54"
"Jul 04, 2016","95.65","95.69","95.89","95.43","0","0.00"
"Jul 01, 2016","95.65","95.89","96.08","95.41","0","-0.51"
"Jun 30, 2016","96.14","95.67","96.42","95.44","0","0.39"
"Jun 29, 2016","95.77","96.04","96.20","95.59","0","-0.50"
"Jun 28, 2016","96.25","96.41","96.41","95.77","0","-0.30"
"Jun 27, 2016","96.54","96.07","96.70","95.81","0","1.14"
"Jun 24, 2016","95.45","93.45","96.70","93.45","0","2.05"
"Jun 23, 2016","93.53","93.50","93.61","93.02","0","-0.20"
"Jun 22, 2016","93.72","94.05","94.12","93.42","0","-0.32"
"Jun 21, 2016","94.02","93.61","94.14","93.42","0","0.44"
"Jun 20, 2016","93.61","93.87","93.87","93.45","0","-0.64"
"Jun 17, 2016","94.21","94.58","94.59","94.07","0","-0.38"
"Jun 16, 2016","94.57","94.60","95.32","94.20","0","-0.04"
"Jun 15, 2016","94.61","94.91","95.04","94.36","0","-0.34"
"Jun 14, 2016","94.93","94.36","95.03","94.32","0","0.60"
"Jun 13, 2016","94.36","94.65","94.75","94.24","0","-0.22"
"Jun 10, 2016","94.57","94.09","94.71","94.05","0","0.66"
"Jun 09, 2016","93.95","93.55","94.13","93.43","0","0.38"
"Jun 08, 2016","93.59","93.86","93.87","93.42","0","-0.26"
"Jun 07, 2016","93.83","94.02","94.09","93.75","0","-0.07"
"Jun 06, 2016","93.90","94.02","94.27","93.75","0","-0.14"
"Jun 03, 2016","94.03","95.55","95.64","93.86","0","-1.60"
"Jun 02, 2016","95.56","95.43","95.61","95.15","0","0.12"
"Jun 01, 2016","95.45","95.81","95.90","95.34","0","-0.46"
"May 31, 2016","95.89","95.66","95.89","95.46","0","0.39"
"May 30, 2016","95.52","95.70","95.97","95.52","0","0.00"
"May 27, 2016","95.52","95.14","95.78","95.08","0","0.37"
"May 26, 2016","95.17","95.42","95.42","94.94","0","-0.19"
"May 25, 2016","95.35","95.63","95.66","95.33","0","-0.23"
"May 24, 2016","95.57","95.27","95.66","95.20","0","0.36"
"May 23, 2016","95.23","95.32","95.48","95.10","0","-0.10"
"May 20, 2016","95.33","95.29","95.46","95.17","0","0.04"
"May 19, 2016","95.29","95.15","95.50","95.12","0","0.22"
"May 18, 2016","95.08","94.58","95.27","94.53","0","0.56"
"May 17, 2016","94.55","94.57","94.71","94.33","0","-0.02"
"May 16, 2016","94.57","94.65","94.68","94.40","0","-0.04"
"May 13, 2016","94.61","94.12","94.84","94.12","0","0.49"
"May 12, 2016","94.15","93.85","94.19","93.80","0","0.35"
"May 11, 2016","93.82","94.26","94.26","93.68","0","-0.50"
"May 10, 2016","94.29","94.13","94.36","94.03","0","0.17"
"May 09, 2016","94.13","93.91","94.20","93.80","0","0.26"
"May 06, 2016","93.89","93.73","93.96","93.28","0","0.12"
"May 05, 2016","93.78","93.21","93.86","93.17","0","0.64"
"May 04, 2016","93.18","92.98","93.36","92.85","0","0.26"
"May 03, 2016","92.94","92.60","93.11","91.92","0","0.33"
"May 02, 2016","92.63","93.02","93.07","92.54","0","-0.48"
"Apr 29, 2016","93.08","93.80","93.80","93.01","0","-0.73"
"Apr 28, 2016","93.76","94.39","94.58","93.69","0","-0.67"
"Apr 27, 2016","94.39","94.53","94.80","94.15","0","-0.19"
"Apr 26, 2016","94.57","94.79","94.81","94.20","0","-0.28"
"Apr 25, 2016","94.84","95.11","95.08","94.68","0","-0.29"
"Apr 22, 2016","95.12","94.63","95.20","94.47","0","0.55"
"Apr 21, 2016","94.60","94.53","94.70","93.92","0","0.12"
"Apr 20, 2016","94.49","94.14","94.59","93.94","0","0.54"
"Apr 19, 2016","93.98","94.49","94.55","93.93","0","-0.54"
"Apr 18, 2016","94.49","94.59","94.83","94.38","0","-0.22"
"Apr 15, 2016","94.70","94.93","95.05","94.51","0","-0.21"
"Apr 14, 2016","94.90","94.81","95.20","94.68","0","0.17"
"Apr 13, 2016","94.74","94.05","94.85","94.00","0","0.83"
"Apr 12, 2016","93.96","93.99","94.39","93.63","0","0.01"
"Apr 11, 2016","93.95","94.10","94.34","93.75","0","-0.30"
"Apr 08, 2016","94.23","94.56","94.68","94.09","0","-0.26"
"Apr 07, 2016","94.48","94.48","94.67","94.02","0","0.05"
"Apr 06, 2016","94.43","94.60","95.07","94.24","0","-0.21"
"Apr 05, 2016","94.63","94.58","94.98","94.45","0","0.13"
"Apr 04, 2016","94.51","94.56","94.83","94.41","0","-0.12"
"Apr 01, 2016","94.62","94.64","95.11","94.33","0","0.03"
"Mar 31, 2016","94.59","94.84","95.03","94.32","0","-0.26"
"Mar 30, 2016","94.84","95.21","95.22","94.59","0","-0.34"
"Mar 29, 2016","95.16","95.96","96.22","95.09","0","-0.81"
"Mar 28, 2016","95.94","96.27","96.40","95.84","0","-0.21"
"Mar 25, 2016","96.14","96.11","96.36","96.11","0","0.00"
"Mar 24, 2016","96.14","96.07","96.36","96.04","0","0.09"
"Mar 23, 2016","96.05","95.64","96.23","95.62","0","0.42"
"Mar 22, 2016","95.65","95.43","95.75","95.26","0","0.38"
"Mar 21, 2016","95.29","95.15","95.41","95.00","0","0.21"
"Mar 18, 2016","95.09","94.77","95.17","94.58","0","0.35"
"Mar 17, 2016","94.76","95.75","95.83","94.65","0","-1.18"
"Mar 16, 2016","95.89","96.67","97.06","95.54","0","-0.77"
"Mar 15, 2016","96.63","96.60","96.87","96.47","0","0.01"
"Mar 14, 2016","96.62","96.31","96.71","96.14","0","0.47"
"Mar 11, 2016","96.17","96.17","96.72","95.94","0","0.10"
"Mar 10, 2016","96.07","97.23","98.42","95.94","0","-1.13"
"Mar 09, 2016","97.17","97.22","97.57","96.93","0","-0.04"
"Mar 08, 2016","97.21","97.11","97.27","96.89","0","0.14"
"Mar 07, 2016","97.07","97.40","97.70","97.04","0","-0.28"
"Mar 04, 2016","97.34","97.67","98.03","97.02","0","-0.26"
"Mar 03, 2016","97.59","98.20","98.35","97.46","0","-0.63"
"Mar 02, 2016","98.21","98.26","98.58","98.12","0","-0.14"
"Mar 01, 2016","98.35","98.18","98.57","98.09","0","0.14"
"Feb 29, 2016","98.21","98.17","98.37","97.80","0","0.06"
"Feb 26, 2016","98.15","97.40","98.26","97.10","0","0.88"
"Feb 25, 2016","97.29","97.49","97.72","97.22","0","-0.17"
"Feb 24, 2016","97.46","97.47","97.92","97.23","0","-0.02"
"Feb 23, 2016","97.48","97.36","97.58","97.14","0","0.10"
"Feb 22, 2016","97.38","96.78","97.60","96.73","0","0.81"
"Feb 19, 2016","96.60","96.87","97.17","96.56","0","-0.36"
"Feb 18, 2016","96.95","96.89","97.09","96.69","0","0.17"
"Feb 17, 2016","96.79","96.94","97.10","96.63","0","-0.08"
"Feb 16, 2016","96.87","96.58","96.99","96.38","0","0.93"
"Feb 15, 2016","95.98","96.08","96.88","95.94","0","0.04"
"Feb 12, 2016","95.94","95.50","96.22","95.46","0","0.40"
"Feb 11, 2016","95.56","95.89","95.90","95.24","0","-0.34"
"Feb 10, 2016","95.89","96.06","96.72","95.76","0","-0.19"
"Feb 09, 2016","96.07","96.73","96.83","95.66","0","-0.52"
"Feb 08, 2016","96.57","97.06","97.48","96.54","0","-0.47"
