"Date","Price","Open","High","Low","Vol.","Change"
"Dec 15, 2017","48081.55","48244.50","48360.42","47930.81","480.35M","-0.29"
"Dec 14, 2017","48222.38","48297.30","48537.02","48091.40","300.40M","-0.11"
"Dec 13, 2017","48276.72","47831.58","48316.97","47826.15","334.48M","1.21"
"Dec 11, 2017","47699.04","47407.73","47843.55","47407.73","140.91M","0.27"
"Dec 08, 2017","47572.86","47012.03","47632.96","47012.03","179.40M","1.25"
"Dec 07, 2017","46987.01","47016.28","47276.87","46949.80","200.49M","0.03"
"Dec 06, 2017","46973.30","47465.41","47465.41","46933.29","196.36M","-1.03"
"Dec 05, 2017","47462.79","47228.10","47525.64","47014.11","132.56M","0.64"
"Dec 04, 2017","47161.32","47289.47","47514.91","46993.75","148.58M","-0.22"
"Dec 01, 2017","47265.31","47098.36","47401.51","46936.60","187.07M","0.37"
"Nov 30, 2017","47092.44","47618.33","47639.88","47003.07","372.68M","-1.11"
"Nov 29, 2017","47622.93","47298.31","47681.89","46960.89","215.14M","0.83"
"Nov 28, 2017","47229.16","47312.31","47494.20","47108.77","197.56M","-0.10"
"Nov 27, 2017","47275.32","47874.70","47887.12","47221.47","171.28M","-1.39"
"Nov 24, 2017","47941.88","48199.82","48210.96","47662.34","65.53M","-0.40"
"Nov 23, 2017","48136.24","48208.92","48246.94","48036.39","23.85M","-0.13"
"Nov 22, 2017","48196.89","48263.13","48453.19","47933.19","179.68M","0.02"
"Nov 21, 2017","48185.71","47831.62","48258.83","47750.73","195.43M","0.69"
"Nov 17, 2017","47857.14","47780.36","48107.72","47597.77","150.28M","0.23"
"Nov 16, 2017","47747.69","47736.59","48025.86","47711.52","145.08M","0.12"
"Nov 15, 2017","47690.80","47853.83","47958.12","47471.13","172.36M","-0.38"
"Nov 14, 2017","47873.65","47999.61","48044.60","47659.14","162.42M","-0.27"
"Nov 13, 2017","48002.43","48013.10","48103.08","47662.38","243.74M","-0.05"
"Nov 10, 2017","48028.30","48659.33","48717.36","47972.79","208.18M","-1.41"
"Nov 09, 2017","48713.51","48731.88","48927.45","48633.77","183.59M","-0.25"
"Nov 08, 2017","48835.69","49001.94","49058.84","48806.56","122.87M","-0.34"
"Nov 07, 2017","49004.52","48946.13","49276.47","48879.49","208.90M","0.08"
"Nov 06, 2017","48967.01","48623.41","49061.43","48281.12","225.24M","0.89"
"Nov 03, 2017","48534.84","48334.87","48584.22","47824.97","229.67M","0.41"
"Nov 01, 2017","48334.45","48700.16","48829.83","48261.08","199.05M","-0.60"
"Oct 31, 2017","48625.53","48929.26","48958.84","48579.68","169.39M","-0.47"
"Oct 30, 2017","48855.27","49250.79","49252.55","48779.04","123.61M","-0.72"
"Oct 27, 2017","49209.58","49011.64","49327.32","48829.74","214.60M","0.45"
"Oct 26, 2017","48986.84","49004.30","49388.76","48954.30","236.54M","0.23"
"Oct 25, 2017","48876.46","50166.47","50166.47","48804.03","287.23M","-2.55"
"Oct 24, 2017","50157.22","49612.85","50194.74","49612.85","191.97M","1.23"
"Oct 23, 2017","49548.13","50033.55","50109.71","49509.56","149.24M","-0.88"
"Oct 20, 2017","49988.71","50207.87","50582.62","49896.63","240.92M","-0.02"
"Oct 19, 2017","50000.25","49914.15","50057.01","49760.76","162.69M","0.12"
"Oct 18, 2017","49938.98","50112.50","50135.82","49887.18","200.52M","-0.40"
"Oct 17, 2017","50140.52","49760.79","50208.42","49544.89","311.21M","0.84"
"Oct 16, 2017","49721.01","50029.82","50230.04","49673.22","204.50M","-0.52"
"Oct 13, 2017","49981.94","50040.40","50224.98","49914.96","218.95M","0.04"
"Oct 12, 2017","49962.79","50148.62","50306.08","49858.26","223.71M","-0.35"
"Oct 11, 2017","50139.68","50011.50","50257.65","49904.88","214.34M","0.31"
"Oct 10, 2017","49982.94","50141.12","50230.44","49888.40","180.84M","-0.18"
"Oct 09, 2017","50071.94","50584.27","50584.27","49980.51","136.88M","-0.46"
"Oct 06, 2017","50302.96","50513.17","50616.65","50257.55","133.53M","-0.35"
"Oct 05, 2017","50480.92","50631.36","50909.48","50425.09","148.57M","-0.17"
"Oct 04, 2017","50565.29","50653.53","50750.30","50511.04","118.43M","-0.10"
"Oct 03, 2017","50615.29","50593.54","50741.49","50453.76","126.89M","0.23"
"Oct 02, 2017","50501.16","50499.17","50629.16","50350.87","127.55M","0.31"
"Sep 29, 2017","50346.06","50064.82","50605.60","50064.82","154.23M","0.42"
"Sep 28, 2017","50137.00","50063.83","50228.13","49920.21","160.20M","-0.06"
"Sep 27, 2017","50169.13","50336.32","50549.79","49778.80","173.00M","-0.38"
"Sep 26, 2017","50359.47","50462.58","50472.38","50261.27","160.19M","-0.02"
"Sep 25, 2017","50368.17","50302.13","50436.07","50161.29","124.01M","0.11"
"Sep 22, 2017","50313.51","50487.93","50541.50","50282.19","96.39M","-0.46"
"Sep 21, 2017","50545.75","50385.34","50636.33","50156.76","138.99M","0.36"
"Sep 20, 2017","50363.95","50312.79","50430.38","50173.52","120.25M","0.20"
"Sep 19, 2017","50265.46","50327.32","50364.83","50117.71","103.03M","0.01"
"Sep 18, 2017","50258.42","49953.14","50326.56","49953.14","148.53M","0.67"
"Sep 15, 2017","49921.84","50058.62","50134.44","49779.09","514.88M","-0.37"
"Sep 14, 2017","50107.86","50094.90","50225.12","50017.37","155.30M","-0.11"
"Sep 13, 2017","50164.88","50519.93","50542.45","50121.64","200.87M","-0.63"
"Sep 12, 2017","50480.96","50385.80","50699.50","50385.50","144.88M","0.24"
"Sep 11, 2017","50359.32","50135.92","50443.47","50133.54","131.79M","0.55"
"Sep 08, 2017","50083.80","50192.73","50308.54","49865.79","137.99M","-0.33"
"Sep 07, 2017","50249.12","50533.54","50700.97","50094.95","153.70M","-0.53"
"Sep 06, 2017","50515.60","50341.86","50664.66","50232.91","182.52M","0.43"
"Sep 05, 2017","50301.39","50947.67","50969.74","50257.74","153.96M","-1.03"
"Sep 04, 2017","50825.77","51015.91","51041.89","50771.58","16.59M","-0.50"
"Sep 01, 2017","51080.85","51271.32","51370.82","51001.30","121.79M","-0.25"
"Aug 31, 2017","51210.48","51155.59","51232.49","51034.27","230.99M","0.03"
"Aug 30, 2017","51193.52","51312.90","51350.08","51003.93","205.90M","-0.23"
"Aug 29, 2017","51313.66","51200.62","51345.90","51054.57","145.43M","0.09"
"Aug 28, 2017","51266.72","51429.62","51588.72","51025.20","126.45M","-0.21"
"Aug 25, 2017","51373.23","51521.18","51620.84","51331.44","132.05M","-0.19"
"Aug 24, 2017","51470.06","51205.24","51558.56","51205.24","185.90M","0.37"
"Aug 23, 2017","51280.17","51276.14","51332.44","51160.92","142.81M","-0.10"
"Aug 22, 2017","51332.98","51194.24","51448.64","51194.24","157.04M","0.18"
"Aug 21, 2017","51241.11","51131.55","51277.68","50985.51","112.92M","0.32"
"Aug 18, 2017","51075.46","50930.50","51254.29","50836.42","140.02M","0.16"
"Aug 17, 2017","50994.18","51176.66","51203.36","50889.50","140.38M","-0.32"
"Aug 16, 2017","51156.67","51331.90","51431.91","50983.44","204.80M","-0.36"
"Aug 15, 2017","51339.29","51225.54","51362.08","51151.87","138.30M","0.34"
"Aug 14, 2017","51167.47","50680.43","51231.33","50680.43","144.31M","1.03"
"Aug 11, 2017","50645.10","50895.92","50912.76","50605.88","205.26M","-0.51"
"Aug 10, 2017","50906.84","51235.27","51248.01","50618.23","184.94M","-0.65"
"Aug 09, 2017","51237.50","51263.01","51395.04","51081.06","128.89M","-0.18"
"Aug 08, 2017","51328.76","51331.79","51722.06","51305.77","151.54M","-0.12"
"Aug 07, 2017","51389.27","51300.22","51572.55","51300.22","137.27M","0.12"
"Aug 04, 2017","51328.29","51240.67","51415.61","51181.71","160.13M","0.07"
"Aug 03, 2017","51293.07","51198.14","51343.28","51088.97","180.71M","0.18"
"Aug 02, 2017","51200.13","51153.86","51484.77","51105.47","185.31M","0.01"
