Id,Text,Date,Open,Market_change
897974118959783937,"Join me at 7:00 P.M. on Tuesday, August 22nd in Phoenix, Arizona at the Phoenix Convention Center! Tickets at: ",2017-08-17,51176.66,-0.32
898130328916824064,"The public is learning (even more so) how dishonest the Fake News is. They totally misrepresent what I say about hate, bigotry etc. Shame!",2017-08-17,51176.66,-0.32
898127175525728256,"Publicity seeking Lindsey Graham falsely stated that I said there is moral equivalency between the KKK, neo-Nazis and white supremacists and people like Ms. Heyer. Such a disgusting lie. He just can't forget his election trouncing.The people of South Carolina will remember!",2017-08-17,51176.66,-0.32
898015350914138112,THANK YOU @MayorGimenez for following the RULE OF LAW! Sanctuary cities make our country LESS SAFE! Full remarks: ,2017-08-17,51176.66,-0.32
898136462385979392,"Great to see that Dr. Kelli Ward is running against Flake Jeff Flake, who is WEAK on borders, crime and a non-factor in Senate. He's toxic!",2017-08-17,51176.66,-0.32
899008521726861312,I want to applaud the many protestors in Boston who are speaking out against bigotry and hate. Our country will soon come together as one!,2017-08-21,51131.55,0.32
898870621584596993,I want to thank Steve Bannon for his service. He came to the campaign during my run against Crooked Hillary Clinton - it was great! Thanks S,2017-08-21,51131.55,0.32
899411254061694979,Heading back to Washington after working hard and watching some of the worst and most dishonest Fake News reporting I have ever seen!,2017-08-21,51131.55,0.32
900435023517499392,"As long as we have faith in each other and confidence in our values, then there is no challenge too great for us to conquer! #ALConv2017 ",2017-08-23,51276.14,-0.1
900354657133801474,"If Republican Senate doesn't get rid of the Filibuster Rule and go to a simple majority, which the Dems would do, they are just wasting time!",2017-08-23,51276.14,-0.1
900346953120141312,"Phoenix crowd last night was amazing - a packed house. I love the Great State of Arizona. Not a fan of Jeff Flake, weak on crime and border!",2017-08-23,51276.14,-0.1
900225712522657792,"Thank you Arizona. Beautiful turnout of 15,000 in Phoenix tonight! Full coverage of rally via my Facebook at: ",2017-08-23,51276.14,-0.1
900150814081036288,"THANK YOU to all of the great men and women at the U.S. Customs and Border Protection facility in Yuma, Arizona and around the United States! ",2017-08-23,51276.14,-0.1
900133498723237888,"We will push onward to victory w/hope in our hearts, courage in our souls and everlasting pride in each and every one of you. God Bless America. ",2017-08-23,51276.14,-0.1
