"Date","Price","Open","High","Low","Vol.","Change"
"Feb 03, 2018","98.01","98.01","98.01","98.01","0","0.00"
"Feb 02, 2018","98.01","98.09","98.22","97.71","0","-0.08"
"Feb 01, 2018","98.09","97.48","98.15","97.34","0","0.63"
"Jan 31, 2018","97.47","97.41","97.84","97.33","0","0.05"
"Jan 30, 2018","97.42","97.30","97.69","97.06","0","0.11"
"Jan 29, 2018","97.30","97.54","97.57","97.02","0","-0.24"
"Jan 28, 2018","97.54","97.52","97.54","97.40","0","0.02"
"Jan 27, 2018","97.52","97.52","97.52","97.52","0","0.00"
"Jan 26, 2018","97.52","97.48","97.96","97.38","0","0.04"
"Jan 25, 2018","97.48","97.42","98.17","97.32","0","0.08"
"Jan 24, 2018","97.40","97.17","97.52","97.09","0","0.24"
"Jan 23, 2018","97.17","96.95","97.20","96.72","0","0.23"
"Jan 22, 2018","96.95","96.98","97.04","96.73","0","-0.04"
"Jan 21, 2018","96.98","96.81","97.09","96.75","0","0.18"
"Jan 20, 2018","96.81","96.81","96.81","96.81","0","0.00"
"Jan 19, 2018","96.81","96.84","97.17","96.73","0","-0.03"
"Jan 18, 2018","96.83","96.58","97.05","96.57","0","0.26"
"Jan 17, 2018","96.58","97.15","97.46","96.50","0","-0.59"
"Jan 16, 2018","97.15","97.16","97.28","96.67","0","-0.01"
"Jan 15, 2018","97.16","96.76","97.34","96.69","0","0.41"
"Jan 14, 2018","96.76","96.80","97.81","96.75","0","-0.05"
"Jan 13, 2018","96.80","96.80","96.80","96.80","0","0.00"
"Jan 12, 2018","96.80","95.89","96.90","95.88","0","0.95"
"Jan 11, 2018","95.89","95.34","96.21","95.22","0","0.58"
"Jan 10, 2018","95.35","95.34","95.74","95.22","0","0.00"
"Jan 09, 2018","95.34","95.62","95.64","95.25","0","-0.29"
"Jan 08, 2018","95.62","96.08","96.17","95.51","0","-0.48"
"Jan 07, 2018","96.08","96.02","96.10","96.02","0","0.07"
"Jan 05, 2018","96.02","96.29","96.43","96.01","0","-0.29"
"Jan 04, 2018","96.30","95.91","96.46","95.88","0","0.39"
"Jan 03, 2018","95.92","96.19","96.21","95.83","0","-0.28"
"Jan 02, 2018","96.19","95.99","96.34","95.95","0","0.21"
"Jan 01, 2018","95.99","95.91","96.04","95.86","0","0.08"
"Dec 31, 2017","95.91","96.20","96.20","95.91","0","0.00"
"Dec 29, 2017","95.91","95.59","96.06","95.55","0","0.33"
"Dec 28, 2017","95.59","95.41","95.73","95.39","0","0.19"
"Dec 27, 2017","95.41","95.24","95.56","95.21","0","0.18"
"Dec 26, 2017","95.23","95.34","95.40","95.19","0","-0.11"
"Dec 25, 2017","95.34","95.22","95.56","95.16","0","0.12"
"Dec 24, 2017","95.22","95.12","95.26","95.12","0","-0.05"
"Dec 22, 2017","95.26","95.24","95.32","94.99","0","0.02"
"Dec 21, 2017","95.24","95.47","95.56","95.24","0","-0.23"
"Dec 20, 2017","95.47","95.09","95.58","95.03","0","0.40"
"Dec 19, 2017","95.09","94.63","95.17","94.59","0","0.48"
"Dec 18, 2017","94.63","94.47","94.94","94.46","0","0.17"
"Dec 17, 2017","94.47","94.42","94.52","94.41","0","-0.02"
"Dec 15, 2017","94.49","94.47","94.79","94.46","0","0.02"
"Dec 14, 2017","94.47","95.01","95.16","94.40","0","-0.57"
"Dec 13, 2017","95.01","94.48","95.04","94.37","0","0.56"
"Dec 12, 2017","94.48","94.81","94.85","94.34","0","-0.35"
"Dec 11, 2017","94.81","94.63","94.99","94.62","0","0.18"
"Dec 10, 2017","94.64","94.59","94.66","94.58","0","-0.02"
"Dec 08, 2017","94.66","94.58","94.67","94.34","0","0.08"
"Dec 07, 2017","94.58","94.71","94.82","94.56","0","-0.14"
"Dec 06, 2017","94.71","94.86","94.94","94.54","0","-0.16"
"Dec 05, 2017","94.86","95.17","95.27","94.66","0","-0.32"
"Dec 04, 2017","95.17","95.08","95.26","94.90","0","0.09"
"Dec 03, 2017","95.08","95.14","95.20","95.08","0","-0.19"
"Dec 01, 2017","95.26","95.34","95.64","95.04","0","-0.08"
"Nov 30, 2017","95.34","94.95","95.44","94.69","0","0.41"
"Nov 29, 2017","94.95","94.91","95.08","94.70","0","0.05"
"Nov 28, 2017","94.90","95.21","95.35","94.73","0","-0.33"
"Nov 27, 2017","95.21","95.45","95.59","95.16","0","-0.25"
"Nov 26, 2017","95.45","95.43","95.50","95.42","0","0.01"
"Nov 24, 2017","95.45","94.81","95.53","94.74","0","0.68"
"Nov 23, 2017","94.81","94.57","94.84","94.53","0","0.26"
"Nov 22, 2017","94.56","94.29","94.62","94.22","0","0.29"
"Nov 21, 2017","94.29","94.36","94.53","94.17","0","-0.08"
"Nov 20, 2017","94.36","94.26","94.78","94.19","0","0.11"
"Nov 19, 2017","94.26","94.65","94.73","94.16","0","-0.43"
"Nov 17, 2017","94.67","94.69","94.88","94.61","0","-0.02"
"Nov 16, 2017","94.69","94.74","94.90","94.56","0","-0.05"
"Nov 15, 2017","94.74","94.85","95.26","94.66","0","-0.12"
"Nov 14, 2017","94.85","93.89","94.93","93.89","0","1.02"
"Nov 13, 2017","93.89","93.84","93.95","93.67","0","0.06"
"Nov 12, 2017","93.83","93.77","93.84","93.73","0","0.05"
"Nov 10, 2017","93.78","93.66","93.81","93.53","0","0.13"
"Nov 09, 2017","93.66","93.38","93.72","93.28","0","0.31"
"Nov 08, 2017","93.37","93.35","93.48","93.27","0","0.02"
"Nov 07, 2017","93.35","93.43","93.47","93.12","0","-0.08"
"Nov 06, 2017","93.43","93.64","93.72","93.34","0","-0.23"
"Nov 05, 2017","93.64","93.62","93.67","93.57","0","0.07"
"Nov 03, 2017","93.57","93.94","94.06","93.54","0","-0.40"
"Nov 02, 2017","93.94","93.55","94.04","93.54","0","0.42"
"Nov 01, 2017","93.55","93.62","93.66","93.36","0","-0.07"
"Oct 31, 2017","93.62","93.57","93.69","93.42","0","0.05"
"Oct 30, 2017","93.58","93.39","93.63","93.31","0","0.20"
"Oct 29, 2017","93.39","93.03","93.46","93.03","0","-0.01"
"Oct 27, 2017","93.39","93.70","93.75","93.20","0","-0.33"
"Oct 26, 2017","93.71","94.75","94.86","93.66","0","-1.10"
"Oct 25, 2017","94.75","94.45","94.77","94.39","0","0.32"
"Oct 24, 2017","94.45","94.21","94.60","94.19","0","0.25"
"Oct 23, 2017","94.21","94.30","94.39","94.07","0","-0.09"
"Oct 22, 2017","94.30","94.34","94.44","94.28","0","-0.15"
"Oct 20, 2017","94.44","94.81","94.88","94.32","0","-0.40"
"Oct 19, 2017","94.81","94.41","94.86","94.23","0","0.42"
"Oct 18, 2017","94.41","94.14","94.49","93.96","0","0.29"
"Oct 17, 2017","94.14","94.19","94.20","93.94","0","-0.06"
"Oct 16, 2017","94.20","94.29","94.33","94.05","0","-0.09"
"Oct 15, 2017","94.29","94.23","94.32","94.22","0","-0.06"
"Oct 13, 2017","94.35","94.52","94.68","94.29","0","-0.18"
"Oct 12, 2017","94.51","94.77","94.84","94.48","0","-0.27"
"Oct 11, 2017","94.77","94.43","94.81","94.34","0","0.36"
"Oct 10, 2017","94.43","94.03","94.48","94.03","0","0.42"
"Oct 09, 2017","94.03","94.06","94.13","93.89","0","-0.03"
"Oct 08, 2017","94.06","93.98","94.06","93.96","0","0.06"
"Oct 06, 2017","94.01","93.85","94.10","93.68","0","0.18"
"Oct 05, 2017","93.84","94.02","94.19","93.74","0","-0.18"
"Oct 04, 2017","94.01","93.98","94.15","93.92","0","0.04"
"Oct 03, 2017","93.98","93.86","94.14","93.70","0","0.12"
"Oct 02, 2017","93.86","94.28","94.28","93.82","0","-0.45"
"Oct 01, 2017","94.28","94.25","94.32","94.18","0","-0.04"
"Sep 29, 2017","94.32","94.01","94.44","93.99","0","0.33"
"Sep 28, 2017","94.01","93.86","94.18","93.73","0","0.18"
"Sep 27, 2017","93.85","94.01","94.08","93.69","0","-0.17"
"Sep 26, 2017","94.01","94.35","94.38","93.88","0","-0.36"
"Sep 25, 2017","94.35","94.95","95.00","94.20","0","-0.64"
"Sep 24, 2017","94.95","94.77","95.06","94.74","0","-0.15"
"Sep 22, 2017","95.10","95.06","95.43","95.00","0","0.04"
"Sep 21, 2017","95.06","94.67","95.10","94.63","0","0.41"
"Sep 20, 2017","94.67","95.35","95.51","94.60","0","-0.71"
